#OS,Criado por,Tipo OS,Dt Criação,Viab/PE,Prazo,Prev Entrega,Produto,Velocidade,#IPs,Cliente,Usuário Final,Projeto,Usuário/Endereço Atendido,Status,Obs Status,Data de entrega,Materiais,Serv Telbrax,Serv Terceiros,Custo Total,Materiais,Serv Telbrax,Serv Terceiros,Custo Total,Dados Completos?,Diferença de Custo
OS145/2011,Ruan,Expansão,27/06/11,,,20/09/2011,,,,Telbrax,,2° lote da revitalização da Savassi (Execução Embratel),Revitalização da Savassi,Concluído,Aceitação e Troca de Dutos com a Embratel (pend. arremate),30/03/2012,,,,"0,00",,,,"0,00",Ok,"0,00"
OS146/2011,Ruan,Expansão,27/06/11,,,30/09/2011,,,,Telbrax,,3° lote da revitalização da Savassi,Revitalização da Savassi,Concluído,,10/10/2011,"12.694,61",,"23.263,30","35.957,91","1.760,00",,"43.180,25","44.940,25",Ok,"-8.982,34"
OS147/2011,Ruan,Expansão,27/06/11,,,25/09/2011,,,,Telbrax,,4° lote da revitalização da Savassi,Revitalização da Savassi,Concluído,Aceitação,12/08/2011,"50.442,80",,"11.066,69","61.509,49","3.380,00",,"67.545,72","70.925,72",Ok,"-9.416,23"
OS148/2011,Ricardo,Manutenção,27/06/11,,,,,,,Telbrax,,Remoção de Cabo Av. Antônio Carlos,Av. Antônio Carlos,Concluído,,,,,"473,00","473,00",,,"473,00","473,00",Ok,"0,00"
OS149/2011,Ariana,Implantação,29/06/11,,,30/07/2011,EILD,15 Mbps,,Global Crossing,CORVAL CORRETORA DE VALORES MOBILIÁRIOS S/A,EILD 15 Mbps,"Av. Bandeirantes, 1448 - Mangabeiras",Concluído,,26/08/2011,"29.145,06","13.100,00","4.361,00","46.606,06","24.532,49","13.100,00","5.176,50","42.808,99",Ok,"3.797,07"
OS150/2011,Paulo,Implantação,29/06/11,,,,Connect Flex,1 Mbps,,Hermes Pardini,,,Rua Aimores 66 - 5º andar - Felipe 3228-6525,Concluído,,29/06/2011,,,,"0,00",,,,"0,00",Ok,"0,00"
OS151/2011,Ariana,Implantação,30/06/11,,,11/07/2011,IP Flex,6 Mbps,,CIMCORP,,Link IP Flex 6 Mbps,"Rua Paraíba, 1323 - 3 andar",Concluído,,11/07/2011,"1.295,90","280,00",,"1.575,90",,,,"0,00",Incompleta,"1.575,90"
OS152/2011,Ariana,Implantação,01/07/11,,,,,,,Global Crossing,CORVAL CORRETORA DE VALORES MOBILIÁRIOS S/A,EILD 15 Mbps,,Concluído,,25/07/2011,"1.097,70","300,00","127,80","1.525,50",,,,"0,00",Incompleta,"1.525,50"
OS153/2011,Ariana,Implantação,01/07/11,,,,IP Flex,,,Contécnica,,,,Concluído,,15/07/2011,"1.427,80","355,00","191,70","1.974,50","1.476,43","355,00","336,00","2.167,43",Ok,"-192,93"
OS154/2011,Ricardo,Manutenção,04/07/11,,,,,,,,,Rebobinamento de Cabo - Serviço de Terceiros,Telbrax,Concluído,,01/07/2011,,,"100,00","100,00",,,"100,00","100,00",Ok,"0,00"
OS155/2011,Andrea,Cancelamento,04/07/11,,,,Connect Flex,400 Mbps,,AeC,,"Desativação circuito Afonso Pena, 550",,Concluído,,02/07/2011,,,,"0,00",,,,"0,00",Ok,"0,00"
OS156/2011,Andrea,Mudança de Endereço,04/07/11,,,04/07/2011,Connect Flex,400 Mbps,,AeC,,"Mudança de endereço circuito Espirito Santo <> Sapucaí (antigo AFP,550)","Rua Espírito Santo, 461  Centro / Rua Sapucaí, 429",Concluído,,02/07/2011,,,,"0,00",,,,"0,00",Ok,"0,00"
OS157/2011,Andrea,Implantação,05/07/11,,,30/07/2011,IP Flex,5 Mbps,,Sysmap,,,"Instalação Rua Rio Grande do Norte, 694 - Funcionários",Concluído,,14/07/2011,"1.349,00","455,00","95,85","1.899,85","1.405,33","455,00","240,00","2.100,33",Ok,"-200,48"
OS158/2011,Andrea,Implantação,06/07/11,,,21/07/2011,EILD,10 Mbps,,Intelig,Hatch Engenharia e Consultoria,Cancelado - Substituída pela OS 160,,Cancelada,,,"665,03","425,00","213,00","1.303,03",,,,"0,00",-,"1.303,03"
OS159/2011,Rubens,Substituição de Equipamento,08/07/11,,,09/07/2011,,,,Loja Elétrica,,Troca de equipamento (EDD novo modelo),Engenho Nogueira,Concluído,,08/07/2011,,,,"0,00",,,,"0,00",Ok,"0,00"
OS160/2011,Ariana,Cancelamento,11/07/11,,,,EILD,10 Mbps,,Intelig,Hatch Engenharia e Consultoria,Cancelamento referente a OS158-EILD 10Mbps,"Rua Maria Luiza Santiago, 200 Belvedere",Concluído,,,,,,"0,00",,,,"0,00",Ok,"0,00"
OS161/2011,Ariana,Implantação,11/07/11,,,31/07/2011,IP Flex,3 Mbps,,Brandt,,IP Flex - 3 Mbps,Alameda do Ingá 89 - Vale do Sereno - Nova Lima - Minas Gerais,Concluído,,12/08/2011,"1.807,90","335,00","542,10","2.685,00","2.188,86","335,00","370,00","2.893,86",Ok,"-208,86"
OS162/2011,Djalma,Expansão,12/07/11,PE021/2010,,25/07/2011,,,,Telbrax,,Construção de caixa de entrada POP BPT,"Rua Paracatú, 45 - Barro Preto",Concluído,,10/08/2011,"1.387,00",,"2.220,00","3.607,00","3.004,20",,"100,00","3.104,20",Ok,"502,80"
OS163/2011,Ricardo,Manutenção,01/07/11,,,,,,,Telbrax,,,Av. Carlos Luz,Concluído,,05/07/2011,,,,"0,00","26,35",,"390,00","416,35",Ok,"-416,35"
OS164/2011,Ariana,Cancelamento,13/07/11,,,13/07/2011,Fibra Apagada,,,Unimed,,Cancelamento Fibra Apagada redundante - Sede - Arapiara,"Ponta (A):Av. Francisco Sales,1483 / Ponta (B):Av. Contorno, 2983 - Santa Efigênia",Concluído,,06/09/2011,,,,"0,00",,,,"0,00",Ok,"0,00"
OS165/2011,Ariana,Implantação,13/07/11,,,,Fibra Apagada,,,Unimed,,Fibra Apagada - Hospital Unimed - Rio Doce,"Ponta (A):Av. Francisco Sales,1483 / Ponta (B):Hospital Unimed - Av. Contorno, 3103",Concluído,,19/08/2011,"6.375,96","1.050,00","2.734,50","10.160,46","6.610,02","1.050,00","4.363,01","12.023,03",Ok,"-1.862,57"
OS166/2011,Ricardo,Serviços técnicos,11/07/11,,,,,,,Telbrax,,Entrega de cabo na Matrel no dia 06/07/2011,,Concluído,,11/07/2011,,,,"0,00",,,"40,00","40,00",Ok,"-40,00"
OS167/2011,Ricardo,Serviços técnicos,11/07/11,,,,,,,Telbrax,,"Rebobinar cabo 72 FO 800 mts, bobina podre fornecida pela Matrel",,Concluído,,11/07/2011,,,,"0,00",,,"100,00","100,00",Ok,"-100,00"
OS168/2011,Ricardo,Manutenção,11/07/11,,,11/07/2011,,,,Telbrax,,Manutenção na Rede,Av. Barão Homem de Melo,Concluído,,11/07/2011,,,"250,00","250,00",,,"250,00","250,00",Ok,"0,00"
OS169/2011,Ricardo,Manutenção,14/07/11,,,14/07/2011,,,,Telbrax,,Sondagem em duto na Rua Espirito Santo,Rua Espirito Santo - Centro,Concluído,,14/07/2011,,,,"0,00",,,"250,00","250,00",Ok,"-250,00"
OS170/2011,Djalma,Expansão,15/07/11,,,17/09/2011,,,,Telbrax,,"Implantação de cabos em dutos construídos na Boulevard Arrudas, interligando troncos  até POP BPT","Av. do Contorno, da Tereza Cristina até Rua Mato Grosso",Concluído,,10/09/2011,"28.179,60",,"6.920,00","35.099,60","26.987,35",,"12.309,20","39.296,55",Ok,"-4.196,95"
OS171/2011,Djalma/Wendell,Expansão,15/07/11,PE078/2011,,21/07/2011,,,,Telbrax,Expominas,Implantação de cabo no Expominas para fornecimento de banda em stands na feira,"Av. Amazonas, 6030 - Expominas",Concluído,,28/07/2011,"6.116,41","730,00","2.092,00","8.938,41","4.943,23","730,00","2.866,13","8.539,36",Ok,"399,05"
OS172/2011,Ariana,Alteração de Serviço,18/07/11,,,18/07/2011,IP Flex,5Mbps,,Dynpro,,Alteração de velocidade de 2Mbps para 5Mbps,"Rua Bernardo Guimarães, 646 - sala 101 - Funcionários",Concluído,,19/07/2011,,,,"0,00",,,,"0,00",Ok,"0,00"
OS173/2011,Jan,Implantação,21/07/11,PE172/2011,,25/07/2011,EILD,2Mbps,,Telbrax,,Criação de Circuito 2Mbps Do Asteca até a SRA para Voip da CTBC,Pirapetinga 322/309,Concluído,,,,,,"0,00",,,,"0,00",Ok,"0,00"
OS174/2011,Rubens,Substituição de Equipamento,25/07/11,,,26/07/2011,,3 / 35Mbps,,Axial,,Substituição de Conversores por Demarc (Vlan 106 e 108),"Rua Bernardo Monteiro, 1472",Concluído,,25/07/2011,,,,"0,00",,,,"0,00",Ok,"0,00"
OS175/2011,Djalma,Implantação,27/07/11,,,01/08/2011,EILD,10Mbps,,CTBC,Devex,Instalação de EILD - 10Mbps,"Avenida Afonso Pena, 3130 - Cruzeiro",Concluído,,18/08/2011,"2.455,16","435,00","735,00","3.625,16","2.453,98","435,00","911,60","3.800,58",Ok,"-175,42"
OS176/2011,Ariana,Implantação,28/07/11,,,22/08/2011,EILD,400Mbps,,WKVE,,Instalação de EILD - 400Mbps,"Rua Falcão, 722",Concluído,,05/09/2011,"15.781,66","1.440,00","5.709,50","22.931,16","12.218,75","1.440,00","5.855,00","19.513,75",Ok,"3.417,41"
OS177/2011,Ricardo,Manutenção,28/07/11,,,28/07/2011,,,,Telbrax,,Manutenção - Correção espinamento (troca de poste - CEMIG),Rua Gentil Portugal,Concluído,,28/07/2011,,,,"0,00","10,10",,"320,00","330,10",Ok,"-330,10"
OS178/2011,Ricardo,Manutenção,28/07/11,,,28/07/2011,,,,Telbrax,,Manutenção - Redisposição de Cabo - (Troca de Poste),Rua Doutor Cassiano,Concluído,,28/07/2011,,,,"0,00","87,67",,"894,64","982,31",Ok,"-982,31"
OS179/2011,Ricardo,Serviços técnicos,28/07/11,,,28/07/2011,,,,Telbrax,,"Transporte de 144FO para Telbrax, e materiais para Expominas",Telbrax e Expominas,Concluído,,28/07/2011,,,"320,00","320,00",,,"320,00","320,00",Ok,"0,00"
OS180/2011,Ariana,Implantação,28/07/11,,,13/08/2011,IP Flex,2Mbps,,Belvitur,,IP Flex - 2Mbps,"Rua Santa Catarina, 1631-9° andar",Concluído,,08/08/2011,"2.136,76","465,00","421,35","3.023,11","2.330,10","465,00","914,50","3.709,60",Ok,"-686,49"
OS181/2011,Andrea,Implantação,28/07/11,,,02/08/2011,Connect Flex,100Mbps,,Montreal,,Connect Flex - 100Mbps,"Av. Professor Magalhães Penido / Av. Afonso Pena			
",Concluído,Previsão 20/08/2011,13/09/2011,"1.027,00","650,00","191,70","1.868,70","1.134,20","650,00","295,40","2.079,60",Ok,"-210,90"
OS182/2011,Ruan,Expansão,29/07/11,PE081/2011,,20/08/2011,,,,Telbrax,TIM,Expansão de rede e compartilhamento com a TIM,Região do Bairro Ouro Preto,Concluído,Lançamento Matrel. Previsto 10/08,20/09/2011,"47.348,80",,"13.680,00","61.028,80","47.099,60",,"14.062,00","61.161,60",Ok,"-132,80"
OS183/2011,Andrea,Implantação,29/05/11,,,05/08/2011,IP Flex,10Mbps,,AeC,,IP Flex - 10Mbps,Rua Sapucaí,Concluído,,01/08/2011,"767,70","35,00",,"802,70",,,,"0,00",Incompleta,"802,70"
OS184/2011,Ricardo,Serviços técnicos,29/07/11,,,03/08/2011,,,,Telbrax,,Transporte dos materias da Expominas para Telbrax,Expominas e Telbrax,Concluído,,03/08/2011,,,"200,00","200,00",,,"200,00","200,00",Ok,"0,00"
OS185/2011,Ricardo,Manutenção,01/08/11,,,03/08/2011,,,,Telbrax,,"Manutenção de Rede, troca de poste da CEMIG ",Av. Contorno com Rua Levindo Lopes,Concluído,,03/08/2011,,,,"0,00","10,10",,"320,00","330,10",Ok,"-330,10"
OS186/2011,Ricardo,Manutenção,01/08/11,,,04/08/2011,,,,Telbrax,,Manutenção na Rede - Troca de Poste CEMIG,Rua Paracatu,Concluído,,04/08/2011,"51,02",,"390,00","441,02","51,02",,"390,00","441,02",Ok,"0,00"
OS187/2011,Ricardo,Manutenção,05/08/11,,,31/08/2011,,,,Telbrax,,Fechamento Manutenção de Acidente - Próximo a V&M,Próximo a V&M,Concluído,,02/09/2011,,,,,,,"250,00","250,00",Ok,"-250,00"
OS188/2011,Ricardo,Manutenção,05/08/11,,,31/08/2011,,,,Telbrax,,Fechamento Manutenção de Acidente - rede subterrânea Centro,R. Rio de Janeiro,Concluído,,02/09/2011,,,,,,,"350,00","350,00",Ok,"-350,00"
OS189/2011,Ariana,Implantação,04/08/11,,,28/08/2011,EILD,,,CTBC,Hiper Carijos,,"Waldyr Emrich, 3426, loja 3, Santa Helena",Concluído,,26/08/2011,"3.347,16","675,00","1.626,55","5.648,71","4.637,00",,"1.702,00","6.339,00",Ok,"-690,29"
OS190/2011,Rubens,Manutenção,05/08/11,,,06/08/2011,,,,Telbrax,,Manutenção no cordão óptico da porta trunk com ECI,"Av. Prof. Magalhães Penido, 77 - Aeroporto",Concluído,,06/08/2011,,,,"0,00",,,,"0,00",Ok,"0,00"
OS191/2011,Ruan,Expansão,08/08/11,PE054/2011,,30/10/2011,,,,Telbrax,,Implantação de dutos na Av. Amazonas -  Parceria Vivo,Av. Amazonas,Em Execução,José Fernando - Previsão 04/2012 (falta travessia Antiga Aimoré),,"60.524,00",,"300.918,00","361.442,00","860,00",,"3.920,00","4.780,00",-,"356.662,00"
OS192/2011,Ariana,Implantação,09/08/11,,,02/09/2011,EILD,2Mbps,,CTBC,HOLDING SERVICER S.A.,,"Av. Rio de Janeiro, 2702 - Belo Horizonte - Bairro Lourdes – CEP 30.160-040",Cancelada,José Fernando 01/09/2011 - Pendencia Cliente,19/09/2011,"1.507,25","525,00","590,40","2.622,65","1.094,91","525,00","972,74","2.592,65",-,"30,00"
OS193/2011,Paulo,Implantação,11/08/11,PE?,,24/08/2011,,,,Telbrax,,Ativação da rede de Gerência dos POPs (Rede SMC - Voip e CFTV),POPs Telbrax,Concluído,,24/08/2011,,,,"0,00",,,,"0,00",Ok,"0,00"
OS194/2011,Djalma,Expansão,12/08/11,,,10/11/2011,,,,Telbrax,,Expansão de rede na Pedro I,Av. Santa Rosa até Cristiano Guimarães,Em Execução,Execução Sudecap (José Fernando),,"58.270,02",,"3.333,33","61.603,35",,,,"0,00",-,"61.603,35"
OS195/2011,Ruan,Expansão,16/08/11,PE054/2011,,04/09/2011,,,,Telbrax,,Implantação de dutos no Luxemburgo - Parceria Vivo,"Av. Raja Gabaglia, esq. com Barão Homem de Melo",Suspensa,Ruan - Pendencia por prioridade,,"12.118,60",,"103.110,00","115.228,60",,,,"0,00",-,"115.228,60"
OS196/2011,Ariana,Implantação,16/08/11,,15,23/09/2011,IP Flex,6Mbps,,Inteliglobe Communications Ltda,,Instalação via rádio,"Philips Lagoa Santa - Rua Prefeito Elizeu Alves,400 - Lagoa Santa - MG - CEP 3340-000",Concluído,Executado pela Cemig Telecom - Last Mile,28/09/2011,,,"2.676,24","2.676,24",,,,"0,00",Incompleta,"2.676,24"
OS197/2011,Djalma,Expansão,12/08/11,PE092/2011,4,15/08/2011,,,,Telbrax / WiBand,,"Construção de duto na Av. Carlos Luz, alça de acesso Shoppping Del Rey","Av.Carlos Luz, passarela do Shopping Del Rey, sentido centro / bairro",Concluído,,13/08/2011,"476,00",,"2.170,00","2.646,00","280,80",,"2.575,00","2.855,80",Ok,"-209,80"
OS198/2011,Djalma,Implantação,17/08/11,PE086/2011,3,20/08/2011,Fibra Apagada,,,Unimed / Ativas,,Implantação de novo circuito para atendimento entre Sede - HU - Ativas,"Rua Francisco Sales 1483 / Av. do Contorno, 3003 / Rua Itambé, 14",Concluído,,19/08/2011,"1.796,45","1.270,00","475,50","3.541,95",,,,"0,00",Incompleta,"3.541,95"
OS199/2011,Ariana,Implantação,17/08/11,,3,21/08/2011,IP Flex Multi,20Mbps,,A&C,,Instalar Ponta B e converter o circuito BHE-07-0024-01-009 em IF Multi 20Mbps,"Rua Sapucaí, 429 / Rua Espírito Santo 461",Concluído,,18/08/2011,,,,"0,00",,,,"0,00",Ok,"0,00"
OS200/2011,Wendell,Expansão,18/08/11,PE092/2011,,31/10/2011,,,,Telbrax / WiBand,,Implantação Rede Cachoeirinha até Eng. Nogueira,Interligação Cachoeirinha até Eng. Nogueira através Swap Telbrax / WiBand,Concluído,,08/02/2012,"69.012,00",,,"69.012,00",,,,"0,00",Incompleta,"69.012,00"
OS201/2011,Ruan,Expansão,18/08/11,PE060/2011,30,18/09/2011,,,,Telbrax,,Implantação do medidor e remanejamento do Almoxarifado,"Rua Pirapetinga, 322 - Serra",Concluído,,,"7.899,44","0,00","17.893,32","25.792,76",,,,"0,00",Incompleta,"25.792,76"
OS202/2011,Gabriel,Manutenção,18/08/11,,,19/08/2011,EILD,,,CTBC,Papa Seguros,Refazer fusão da CTO Cliente,"Av. Getulio Vargas, 271",Concluído,,22/09/2011,,,,"0,00",,,,"0,00",Ok,"0,00"
OS203/2011,Djalma,Manutenção,22/08/11,,5,26/08/2011,,,,Telbrax,,"Remanejamento de rede aérea para subterrâneo, utilizando rede nova.","Rua Antônio de Albuquerque, entre Alagoas e Pça da Savassi, cabo AC0402A.",Concluído,,03/09/2011,"2.456,50","0,00","4.223,00","6.679,50",,,,"0,00",Incompleta,"6.679,50"
OS204/2011,Djalma,Manutenção,23/08/11,,,26/08/2011,,,,Telbrax,,emenda e testes no cabo remanejado na OS203/2011,"CS#0401, CS#0405 e TOA DG do prédio.",Concluído,,03/09/2011,"1.351,60",1980,220,"3.551,60","2.875,20","1.980,00","1.726,00","6.581,20",Ok,"-3.029,60"
OS205/2011,Ariana,Alteração de Serviço,24/08/11,,,24/08/2011,IP Flex,5Mbps,,Belvitur,,,Rua Santa Catarina 1631 – 9º andar – Lourdes – Belo Horizonte – Minas Gerais,Concluído,,24/08/2011,,,,"0,00",,,,"0,00",Ok,"0,00"
OS206/2011,Djalma,Manutenção,24/08/11,,,17/09/2011,,,,Telbrax,,Execução de fusões no trecho do Boulevard Arrudas,,Concluído,,26/09/2011,"16.718,46","32.840,00","852,00","50.410,46","12.475,26","32.840,00","596,40","45.911,66",Ok,"4.498,80"
OS207/2011,Ariana,Implantação,25/08/11,,5,30/08/2011,Cross Connect,,,Century Telecom,,Inserção de cliente no PTT- MG,,Concluído,,30/08/2011,"321,90","400,00","390,00","1.111,90","215,70","400,00","462,00","1.077,70",Ok,"34,20"
OS208/2011,Ariana,Implantação,25/08/11,,5,30/08/2011,Cross Connect,,,Century Telecom,,Cabo de interligação ao PTT de acordo com a viabilidade ,,Concluído,,31/08/2011,,,,"0,00",,,,"0,00",Ok,"0,00"
OS209/2011,Ariana,Cancelamento,25/08/11,,0,25/08/2011,EILD,1Mbps,,CTBC,G.V.Negocios Imobiliarios,,"Rua Bernardo Guimarães, 895, funcionários",Concluído,,29/08/2011,,,,"0,00",,,,"0,00",Ok,"0,00"
OS210/2011,Ariana,Cancelamento,25/08/11,,0,25/08/2011,EILD,1Mbps,,CTBC,Coferco Controles,,"Rua Carioca, 234, Padre Eustaquio",Concluído,,29/08/2011,,,,"0,00",,,,"0,00",Ok,"0,00"
OS211/2011,Djalma,Manutenção,29/08/11,,,30/08/2011,,,,Banco BMG,,Migração de connect flex para demarc e liberação de fibra para link FA JP p/ AC,"Av. João Pinheiro, 190 para Av. álvares Cabral, 1770",Concluído,30/08/2011,30/08/2011,,,,"0,00",,,,"0,00",Ok,"0,00"
OS212/2011,Wendell,Manutenção,30/08/11,,,04/05/2012,,,,Telbrax,,Detectar problema das fibras 17 a 24. ,Rua Geraldo Teixeira da Costa c/ Rua Itambé,Em Execução,Planejamento de Execução (Djalma),,"3.808,10","1.980,00","4.223,00","10.011,10",,,,"0,00",-,"10.011,10"
OS213/2011,Wendell,Manutenção,30/08/11,,,03/10/2011,,,,Telbrax,,Cabo curto devido a emenda criada pelo rompimento,"Av. Barão Homem de Melo, 4301",Suspensa,Planejamento de Execução (Djalma) - Depende OS195/2011,,"2.466,76",,"707,00","3.173,76",,,,"0,00",-,"3.173,76"
OS214/2011,Wendell,Manutenção,30/08/11,,,03/10/2011,,,,Banco BMG,,Rompimento BMG Barreiro,"Rua Barão Monte Alto, 384",Suspensa,Planejamento de Execução (Djalma),,"2.990,22","875,00","0,00","3.865,22",,,,"0,00",-,"3.865,22"
OS215/2011,Wendell,Manutenção,30/08/11,,,03/10/2011,,,,TIVIT,,Remanejamento rede interna da V&M,Av. Tereza Cristina Portão 2,Concluído,"Serviço já executado, sem a OS em mãos.",,,,,"0,00",,,,"0,00",Ok,"0,00"
OS216/2011,Wendell,Manutenção,30/08/11,,,03/10/2011,,,,Telbrax,,Retirada Poste da Travessia - Fonte Grande - Deverá ser executado pela Matrel,Travessia da Linha onde foi realizada MND,Cancelada,Os criada duplicada com número 254/2011,,,,"430,00","430,00",,,,"0,00",-,"430,00"
OS217/2011,Wendell,Manutenção,30/08/11,,,03/10/2011,,,,Telbrax,,Foram criadas 3 emendas no percurso de 900M. devido aos rompimento do cabo,Rua Haecket Ben Hur Salvador p/ Av. João Cesar de Oliveira e Rua José Diniz e Silva,Cancelada,Os criada duplicada com número 254/2011,,"2.990,22",,"875,00","3.865,22",,,,"0,00",-,"3.865,22"
OS218/2011,Djalma,Manutenção,08/09/11,,4,12/09/2011,,,,Telbrax,,Remanejamento de rede Savassi - construção de duto e travessia aérea nova Getúlio Vargas 1420,,Concluído,,10/09/2011,"153,38","990,00","741,50","1.884,88",,,,"0,00",Incompleta,"1.884,88"
